id,serverName,serverId,userId,userName,xp,goldenxp,level,createdAt,updatedAt
1,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,637598340154130432,dr4g0nn_0,320,0,10,2023-09-09 13:37:11.014 +00:00,2023-09-11 06:18:33.519 +00:00
2,F&G,793825616901832725,1032360180333154434,ryxzan,228,0,7,2023-09-09 13:38:34.505 +00:00,2023-09-10 20:26:51.884 +00:00
3,F&G,793825616901832725,637598340154130432,dr4g0nn_0,298,0,9,2023-09-09 13:43:26.747 +00:00,2023-09-11 07:15:02.895 +00:00
4,Stargazer's Paradise,1072607421949812787,637598340154130432,dr4g0nn_0,210,0,6,2023-09-10 12:52:43.342 +00:00,2023-09-11 06:42:01.215 +00:00
5,Stargazer's Paradise,1072607421949812787,606638514574196747,just_mayhem,348,0,11,2023-09-10 12:52:46.089 +00:00,2023-09-11 09:21:42.318 +00:00
6,Stargazer's Paradise,1072607421949812787,1062594026991255623,cherrryy.coke,48,0,1,2023-09-10 12:57:00.414 +00:00,2023-09-11 08:17:44.723 +00:00
7,Stargazer's Paradise,1072607421949812787,177644558123794432,cristian_rodriguez,274,0,8,2023-09-10 13:37:56.212 +00:00,2023-09-11 06:20:12.849 +00:00
8,Stargazer's Paradise,1072607421949812787,592747070973280286,hayashi_aoi,12,0,1,2023-09-10 13:50:35.310 +00:00,2023-09-10 13:51:32.870 +00:00
9,Stargazer's Paradise,1072607421949812787,428818179926654976,sushi_suna,361,0,12,2023-09-10 14:53:14.509 +00:00,2023-09-11 09:08:23.670 +00:00
10,Stargazer's Paradise,1072607421949812787,959028220093665281,fujiwara_yumi12,4,0,1,2023-09-10 15:28:57.888 +00:00,2023-09-10 15:29:24.303 +00:00
11,Stargazer's Paradise,1072607421949812787,468438411984896000,noirthesweetpain,21,0,1,2023-09-10 15:35:15.117 +00:00,2023-09-11 01:26:02.482 +00:00
12,Stargazer's Paradise,1072607421949812787,667819418641760257,hoshino_dva,42,0,1,2023-09-10 15:43:54.095 +00:00,2023-09-11 03:42:54.456 +00:00
13,F&G,793825616901832725,753276104390869013,licarsmeth,45,0,1,2023-09-10 15:46:37.181 +00:00,2023-09-11 06:45:18.947 +00:00
14,Stargazer's Paradise,1072607421949812787,1011239685940592661,kuchiki_suzume,11,0,1,2023-09-10 15:48:02.009 +00:00,2023-09-10 18:05:42.092 +00:00
15,Stargazer's Paradise,1072607421949812787,1069275931547541535,vamp.arthur,19,0,1,2023-09-10 16:19:34.192 +00:00,2023-09-10 16:20:41.761 +00:00
16,Stargazer's Paradise,1072607421949812787,375048862697783299,etsukano,33,0,1,2023-09-10 17:18:00.415 +00:00,2023-09-11 09:22:23.558 +00:00
17,jdi 5,858607818189176833,637598340154130432,dr4g0nn_0,11,0,1,2023-09-10 17:43:34.297 +00:00,2023-09-11 06:45:59.808 +00:00
18,Stargazer's Paradise,1072607421949812787,919553661921796106,daiace10k,28,0,1,2023-09-10 21:08:07.945 +00:00,2023-09-10 21:38:38.907 +00:00
19,Stargazer's Paradise,1072607421949812787,437221164767641601,_r4lph_,18,0,1,2023-09-10 21:30:09.964 +00:00,2023-09-11 02:18:51.178 +00:00
20,Stargazer's Paradise,1072607421949812787,1088537960250613810,lesoleilpossedelalune,12,0,1,2023-09-10 22:02:30.343 +00:00,2023-09-10 22:04:52.271 +00:00
21,Stargazer's Paradise,1072607421949812787,1148243549419212941,boobpirate,85,0,2,2023-09-11 00:48:43.070 +00:00,2023-09-11 09:22:53.695 +00:00
24,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,731809267266617368,dude,155,0,1,2021-04-05 18:12:44.118 +00:00,2021-04-06 13:04:37.366 +00:00
25,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,730327309713670154,Kanna,0,0,1,2021-04-05 18:25:33.096 +00:00,2021-04-06 12:06:18.308 +00:00
26,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,341180583420100610,cloudy,3,0,1,2021-04-05 18:27:00.068 +00:00,2021-04-05 18:27:12.970 +00:00
27,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,645144927830933504,otoharu.,205,0,1,2021-04-06 11:37:43.371 +00:00,2021-04-06 18:13:20.269 +00:00
28,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,235088799074484224,ibby,50,0,1,2021-04-06 11:37:43.651 +00:00,2021-04-06 17:06:55.863 +00:00
29,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,753276104390869013,licarsmeth,25,0,1,2021-04-06 11:56:59.708 +00:00,2021-04-06 12:06:08.658 +00:00
30,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,234395307759108106,Unknown User,5,0,1,2021-04-06 13:23:11.998 +00:00,2021-04-06 13:23:11.998 +00:00
31,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,469610550159212554,Unknown User,5,0,1,2021-04-06 13:24:59.275 +00:00,2021-04-06 13:24:59.275 +00:00
32,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,153610488633098240,simoniezi,0,0,1,2021-04-06 13:24:59.275 +00:00,2021-04-06 13:24:59.275 +00:00
33,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,463329008084451329,qi,0,0,1,2021-04-06 13:24:59.275 +00:00,2021-04-06 13:24:59.275 +00:00
34,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,689151238146621591,FonFon,0,0,1,2021-04-06 13:24:59.275 +00:00,2021-04-06 13:24:59.275 +00:00
35,ğƒ.ğ‚ğ€ğ…Ã©â˜•,732650949050630156,675580860346400818,Bee,0,0,1,2021-04-06 13:24:59.275 +00:00,2021-04-06 13:24:59.275 +00:00
